username,role,login_time,status,actions
admin,admin,2026-05-19 21:39:08,SUCCESS,
sunny,clinician,2026-05-19 21:39:31,SUCCESS,
nurse1,nurse,2026-05-19 21:39:46,SUCCESS,
sunny,clinician,2026-05-19 21:43:38,SUCCESS,
sunny,clinician,2026-05-19 21:43:54,SUCCESS,
sunny,clinician,2026-05-19 21:45:22,SUCCESS,
sunny,clinician,2026-05-19 21:47:33,SUCCESS,
sunny,clinician,2026-05-19 21:49:26,SUCCESS,
sunny,clinician,2026-05-19 21:49:35,SUCCESS,
sunny,clinician,2026-05-19 21:51:38,SUCCESS,
sunny,clinician,2026-05-19 21:53:14,SUCCESS,
sunny,clinician,2026-05-19 21:54:31,SUCCESS,
sunny,clinician,2026-05-19 21:56:27,SUCCESS,
sunny,clinician,2026-05-19 21:59:55,SUCCESS,
sunny,clinician,2026-05-19 22:04:20,SUCCESS,
sunny,clinician,2026-05-19 22:14:35,SUCCESS,
sunny,N/A,2026-05-19 22:15:16,FAILED,
sunny,clinician,2026-05-19 22:15:21,SUCCESS,
admin,admin,2026-05-19 22:16:22,SUCCESS,
luhe,admin,2026-05-19 22:24:53,SUCCESS,
luhe,admin,2026-05-19 22:36:14,SUCCESS,
sunny,clinician,2026-05-19 22:36:32,SUCCESS,
admin,admin,2026-05-19 22:37:13,SUCCESS,
sunny,clinician,2026-05-21 20:45:45,SUCCESS,
sunny,clinician,2026-05-21 20:48:02,SUCCESS,
sunny,clinician,2026-05-21 20:59:10,SUCCESS,
sunny,clinician,2026-05-22 10:12:11,SUCCESS,
